sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
1000,17,Confidence only,0.2,200,1000,0.2,0.86,0.14,28,172,800,265,535
1000,17,Confidence only,0.3,300,1000,0.3,0.8733333333333333,0.12666666666666668,38,262,700,175,525
1000,17,Confidence only,0.4,400,1000,0.4,0.84,0.16,64,336,600,101,499
1000,17,Confidence only,0.5,500,1000,0.5,0.774,0.226,113,387,500,50,450
1000,17,Confidence only,0.6,600,1000,0.6,0.6933333333333334,0.30666666666666664,184,416,400,21,379
1000,17,Confidence only,0.7,700,1000,0.7,0.6114285714285714,0.38857142857142857,272,428,300,9,291
1000,17,Confidence only,0.8,800,1000,0.8,0.545,0.455,364,436,200,1,199
1000,17,Confidence only,0.9,900,1000,0.9,0.4855555555555556,0.5144444444444445,463,437,100,0,100
1000,17,Confidence only,1.0,1000,1000,1.0,0.437,0.563,563,437,0,0,0
1000,17,Question-aware semantic V2,0.1,100,1000,0.1,0.79,0.21,21,79,900,358,542
1000,17,Question-aware semantic V2,0.2,200,1000,0.2,0.775,0.225,45,155,800,282,518
1000,17,Question-aware semantic V2,0.3,300,1000,0.3,0.7333333333333333,0.26666666666666666,80,220,700,217,483
1000,17,Question-aware semantic V2,0.4,400,1000,0.4,0.6775,0.3225,129,271,600,166,434
1000,17,Question-aware semantic V2,0.5,500,1000,0.5,0.628,0.372,186,314,500,123,377
1000,17,Question-aware semantic V2,0.6,600,1000,0.6,0.565,0.435,261,339,400,98,302
1000,17,Question-aware semantic V2,0.7,700,1000,0.7,0.52,0.48,336,364,300,73,227
1000,17,Question-aware semantic V2,0.8,800,1000,0.8,0.48125,0.51875,415,385,200,52,148
1000,17,Question-aware semantic V2,0.9,900,1000,0.9,0.4411111111111111,0.5588888888888889,503,397,100,40,60
1000,17,Question-aware semantic V2,1.0,1000,1000,1.0,0.437,0.563,563,437,0,0,0
1000,17,Confidence + question-aware semantic V2,0.1,100,1000,0.1,0.88,0.12,12,88,900,349,551
1000,17,Confidence + question-aware semantic V2,0.2,200,1000,0.2,0.885,0.115,23,177,800,260,540
1000,17,Confidence + question-aware semantic V2,0.3,300,1000,0.3,0.85,0.15,45,255,700,182,518
1000,17,Confidence + question-aware semantic V2,0.4,400,1000,0.4,0.7825,0.2175,87,313,600,124,476
1000,17,Confidence + question-aware semantic V2,0.5,500,1000,0.5,0.672,0.328,164,336,500,101,399
1000,17,Confidence + question-aware semantic V2,0.6,600,1000,0.6,0.6033333333333334,0.39666666666666667,238,362,400,75,325
1000,17,Confidence + question-aware semantic V2,0.7,700,1000,0.7,0.5414285714285715,0.4585714285714286,321,379,300,58,242
