sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
1000,17,Confidence only,0.3,300,1000,0.3,0.8433333333333334,0.15666666666666668,47,253,700,160,540
1000,17,Confidence only,0.4,400,1000,0.4,0.7975,0.2025,81,319,600,94,506
1000,17,Confidence only,0.5,500,1000,0.5,0.73,0.27,135,365,500,48,452
1000,17,Confidence only,0.6,600,1000,0.6,0.6516666666666666,0.34833333333333333,209,391,400,22,378
1000,17,Confidence only,0.7,700,1000,0.7,0.5785714285714286,0.42142857142857143,295,405,300,8,292
1000,17,Confidence only,0.8,800,1000,0.8,0.51125,0.48875,391,409,200,4,196
1000,17,Confidence only,0.9,900,1000,0.9,0.45444444444444443,0.5455555555555556,491,409,100,4,96
1000,17,Confidence only,1.0,1000,1000,1.0,0.413,0.587,587,413,0,0,0
1000,17,Old semantic verifier only,0.1,100,1000,0.1,0.67,0.33,33,67,900,346,554
1000,17,Old semantic verifier only,0.2,200,1000,0.2,0.655,0.345,69,131,800,282,518
1000,17,Old semantic verifier only,0.3,300,1000,0.3,0.65,0.35,105,195,700,218,482
1000,17,Old semantic verifier only,0.4,400,1000,0.4,0.6225,0.3775,151,249,600,164,436
1000,17,Old semantic verifier only,0.5,500,1000,0.5,0.592,0.408,204,296,500,117,383
1000,17,Old semantic verifier only,0.6,600,1000,0.6,0.555,0.445,267,333,400,80,320
1000,17,Old semantic verifier only,0.7,700,1000,0.7,0.5128571428571429,0.48714285714285716,341,359,300,54,246
1000,17,Old semantic verifier only,0.8,800,1000,0.8,0.48,0.52,416,384,200,29,171
1000,17,Old semantic verifier only,0.9,900,1000,0.9,0.45,0.55,495,405,100,8,92
1000,17,Old semantic verifier only,1.0,1000,1000,1.0,0.413,0.587,587,413,0,0,0
1000,17,Question-aware semantic V2,0.1,100,1000,0.1,0.76,0.24,24,76,900,337,563
1000,17,Question-aware semantic V2,0.2,200,1000,0.2,0.75,0.25,50,150,800,263,537
1000,17,Question-aware semantic V2,0.3,300,1000,0.3,0.7133333333333334,0.2866666666666667,86,214,700,199,501
1000,17,Question-aware semantic V2,0.4,400,1000,0.4,0.68,0.32,128,272,600,141,459
1000,17,Question-aware semantic V2,0.5,500,1000,0.5,0.606,0.394,197,303,500,110,390
1000,17,Question-aware semantic V2,0.6,600,1000,0.6,0.545,0.455,273,327,400,86,314
1000,17,Question-aware semantic V2,0.7,700,1000,0.7,0.4928571428571429,0.5071428571428571,355,345,300,68,232
1000,17,Question-aware semantic V2,0.8,800,1000,0.8,0.45375,0.54625,437,363,200,50,150
1000,17,Question-aware semantic V2,0.9,900,1000,0.9,0.4166666666666667,0.5833333333333334,525,375,100,38,62
1000,17,Question-aware semantic V2,1.0,1000,1000,1.0,0.413,0.587,587,413,0,0,0
1000,17,Confidence + question-aware semantic V2,0.1,100,1000,0.1,0.93,0.07,7,93,900,320,580
1000,17,Confidence + question-aware semantic V2,0.2,200,1000,0.2,0.875,0.125,25,175,800,238,562
1000,17,Confidence + question-aware semantic V2,0.3,300,1000,0.3,0.81,0.19,57,243,700,170,530
1000,17,Confidence + question-aware semantic V2,0.4,400,1000,0.4,0.745,0.255,102,298,600,115,485
1000,17,Confidence + question-aware semantic V2,0.5,500,1000,0.5,0.648,0.352,176,324,500,89,411
1000,17,Confidence + question-aware semantic V2,0.6,600,1000,0.6,0.5666666666666667,0.43333333333333335,260,340,400,73,327
1000,17,Confidence + question-aware semantic V2,0.7,700,1000,0.7,0.5085714285714286,0.49142857142857144,344,356,300,57,243
1000,17,Confidence + question-aware semantic V2,0.8,800,1000,0.8,0.4575,0.5425,434,366,200,47,153
1000,17,Confidence + question-aware semantic V2,0.9,900,1000,0.9,0.4166666666666667,0.5833333333333334,525,375,100,38,62
1000,17,Confidence + question-aware semantic V2,1.0,1000,1000,1.0,0.413,0.587,587,413,0,0,0
2000,17,Confidence only,0.1,200,2000,0.1,0.9,0.1,20,180,1800,676,1124
2000,17,Confidence only,0.2,400,2000,0.2,0.865,0.135,54,346,1600,510,1090
2000,17,Confidence only,0.3,600,2000,0.3,0.85,0.15,90,510,1400,346,1054
2000,17,Confidence only,0.4,800,2000,0.4,0.8075,0.1925,154,646,1200,210,990
2000,17,Confidence only,0.5,1000,2000,0.5,0.746,0.254,254,746,1000,110,890
2000,17,Confidence only,0.6,1200,2000,0.6,0.6741666666666667,0.3258333333333333,391,809,800,47,753
2000,17,Confidence only,0.7,1400,2000,0.7,0.6,0.4,560,840,600,16,584
2000,17,Confidence only,0.8,1600,2000,0.8,0.53125,0.46875,750,850,400,6,394
2000,17,Confidence only,0.9,1800,2000,0.9,0.4727777777777778,0.5272222222222223,949,851,200,5,195
2000,17,Confidence only,1.0,2000,2000,1.0,0.428,0.572,1144,856,0,0,0
